"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2002";"2003";"2004";"2005";"2006";"2007" 
"01 Dronningen "; 55,0; 58,5; 59,7; 59,7; 59,7; 59,7
"011 Statsydelse "; 55,0; 58,5; 59,7; 59,7; 59,7; 59,7
"0111 Statsydelse "; 55,0; 58,5; 59,7; 59,7; 59,7; 59,7
"011101 Statsydelse "; 55,0; 58,5; 59,7; 59,7; 59,7; 59,7
"01110110 Almindelig virksomhed "; 55,0; 58,5; 59,7; 59,7; 59,7; 59,7
"02 Medlemmer af det kongelige hus "; 7,5; 7,9; 14,9; 8,1; 8,1; 8,1
"021 Årpenge "; 7,5; 7,9; 14,9; 8,1; 8,1; 8,1
"0211 Årpenge "; 7,5; 7,9; 14,9; 8,1; 8,1; 8,1
"021101 Årpenge "; 7,5; 7,9; 14,9; 8,1; 8,1; 8,1
"02110110 Almindelig virksomhed "; 7,5; 7,9; 14,9; 8,1; 8,1; 8,1
"03 Folketinget "; 765,0; 801,7; 784,9; 789,2; 783,0; 783,0
"031 Udgifter ved Folketinget "; 572,9; 598,5; 575,7; 580,1; 573,9; 573,9
"0311 Folketinget "; 572,9; 598,5; 575,7; 580,1; 573,9; 573,9
"031101 Administration "; 239,6; 265,7; 262,6; 261,3; 261,3; 261,3
"03110110 Almindelig virksomhed "; 219,1; 235,0; 241,3; 240,0; 240,0; 240,0
"03110120 Projekter "; 20,4; 30,7; 21,3; 21,3; 21,3; 21,3
"031102 Folketingets adm. pensionsud.og overførs.indt "; 14,3; 15,3; 15,3; 14,6; 14,6; 14,6
"03110210 Almindelig virksomhed "; 14,3; 15,3; 15,3; 14,6; 14,6; 14,6
"031103 Det parlamentariske arbejde "; 293,3; 290,6; 267,8; 274,2; 268,0; 268,0
"03110310 Folketingsvederlag og boliggodtgørelse "; 136,8; 136,1; 110,3; 110,3; 110,3; 110,3
"03110320 Befordringsudgifter "; 13,2; 11,3; 12,6; 12,6; 12,6; 12,6
"03110330 Folketingsgruppestøtte "; 101,3; 99,2; 101,7; 101,7; 101,7; 101,7
"03110340 Udvalgsarbejde m.v. "; 30,2; 29,6; 29,2; 29,1; 29,1; 29,1
"03110350 Interparlamentariske forsamlinger "; 11,9; 14,4; 14,0; 20,5; 14,3; 14,3
"031104 Folketingspensioner "; 25,7; 26,9; 30,0; 30,0; 30,0; 30,0
"03110410 Almindelig virksomhed "; 25,7; 26,9; 30,0; 30,0; 30,0; 30,0
"032 Folketingets Ombudsmand "; 35,4; 39,3; 40,2; 40,5; 40,5; 40,5
"0321 Folketingets Ombudsmand "; 35,4; 39,3; 40,2; 40,5; 40,5; 40,5
"032101 Folketingets Ombudsmand "; 34,7; 38,5; 39,4; 39,7; 39,7; 39,7
"03210110 Almindelig virksomhed "; 34,7; 38,5; 39,4; 39,7; 39,7; 39,7
"032102 Folketingets Ombudsmands pens.udg. og ovf.ind "; 0,7; 0,8; 0,8; 0,8; 0,8; 0,8
"03210210 Almindelig virksomhed "; 0,7; 0,8; 0,8; 0,8; 0,8; 0,8
"033 Statsrevisoratet og Rigsrevisionen "; 156,7; 163,9; 169,0; 168,6; 168,6; 168,6
"0331 Statsrevisoratet og Rigsrevisionen "; 156,7; 163,9; 169,0; 168,6; 168,6; 168,6
"033101 Statsrevisoratet "; 4,6; 5,2; 5,3; 5,3; 5,3; 5,3
"03310110 Almindelig virksomhed "; 4,6; 5,2; 5,3; 5,3; 5,3; 5,3
"033111 Rigsrevisionen "; 148,2; 154,4; 159,3; 158,9; 158,9; 158,9
"03311110 Almindelig virksomhed "; 148,2; 154,4; 159,3; 158,9; 158,9; 158,9
"033112 Rigsrevisionens pensionsudg. og overførind "; 3,9; 4,3; 4,4; 4,4; 4,4; 4,4
"03311210 Almindelig virksomhed "; 3,9; 4,3; 4,4; 4,4; 4,4; 4,4
"05 Statsministeriet "; 119,6; 123,0; 122,9; 108,9; 108,9; 108,9
"051 Fællesudgifter "; 119,6; 123,0; 122,9; 108,9; 108,9; 108,9
"0511 Centralstyrelsen "; 103,9; 104,9; 107,2; 93,3; 93,3; 93,3
"051101 Departementet "; 68,8; 66,5; 74,9; 66,9; 64,9; 63,3
"05110110 Almindelig virksomhed "; 68,4; 66,2; 74,1; 66,1; 64,1; 62,5
"05110130 Avisårbogen "; 0,4; 0,3; 0,3; 0,3; 0,3; 0,3
"05110140 Nordatlantens Brygge "; 0,0; 0,0; 0,5; 0,5; 0,5; 0,5
"051103 Vederlag og repræsentationstillæg t. ministre "; 25,4; 24,6; 18,5; 12,6; 12,6; 12,6
"05110310 Almindelig virksomhed "; 25,4; 24,6; 18,5; 12,6; 12,6; 12,6
"051111 Dagspressens Finansieringsinstitut "; 9,8; 13,8; 13,8; 13,8; 13,8; 13,8
"05111110 Dagspressens Finansieringsinstitut "; 9,8; 13,8; 13,8; 13,8; 13,8; 13,8
"051179 Reserver og budgetregulering "; 0,0; 0,0; 0,0; 0,0; 2,0; 3,6
"05117985 Omprioriteringsreserve "; 0,0; 0,0; 0,0; 0,0; 2,0; 3,6
"0512 Grønland og Færøerne "; 15,7; 18,1; 15,7; 15,6; 15,6; 15,6
"051203 Rigsombudsmanden i Grønland "; 9,0; 11,1; 8,6; 8,5; 8,5; 8,5
"05120310 Almindelig virksomhed "; 9,0; 11,1; 8,6; 8,5; 8,5; 8,5
"051251 Rigsombudsmanden på Færøerne "; 6,6; 7,0; 7,1; 7,1; 7,1; 7,1
"05125110 Almindelig virksomhed "; 6,6; 7,0; 7,1; 7,1; 7,1; 7,1
"06 Udenrigsministeriet "; 14629,8; 14081,9; 13164,9; 12967,1; 12941,9; 12926,9
"061 Udenrigstjenesten m.v. "; 2514,1; 2117,0; 2131,8; 1929,0; 1922,6; 1910,7
"0611 Udenrigstjenesten "; 2514,1; 2117,0; 2131,8; 1929,0; 1922,6; 1910,7
"061101 Udenrigstjenesten "; 1785,3; 1703,1; 1662,4; 1580,1; 1558,7; 1532,2
"06110110 Generelle opgaver "; 636,4; 558,2; 520,4; 496,1; 489,9; 477,8
"06110120 Administration af udviklingsbistand "; 637,0; 649,7; 658,4; 620,4; 608,2; 596,1
"06110130 Eksportfremme "; 360,6; 349,4; 343,4; 331,7; 331,2; 331,2
"06110140 Konsulære opgaver "; 138,2; 134,9; 129,1; 120,8; 118,3; 116,0
"06110190 Sprogcentret "; 13,1; 10,9; 11,1; 11,1; 11,1; 11,1
"061102 Regeringens fællesud. vedr. EU-form-formandsk "; 307,9; 0,0; 0,0; 0,0; 0,0; 0,0
"06110210 Fællesudgifter "; 307,9; 0,0; 0,0; 0,0; 0,0; 0,0
"061103 Udenrigstjenestens bygninger "; 14,1; 38,0; 38,5; 38,5; 38,5; 38,5
"06110310 Mindre bygge- og vedligeholdsarbejder "; 13,5; 38,0; 38,5; 38,5; 38,5; 38,5
"06110330 Større samlede anlægsprojekter "; 0,6; 0,0; 0,0; 0,0; 0,0; 0,0
