"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2007";"2008";"2009";"2010";"2011";"2012" 
"01 Dronningen "; 64,4; 65,9; 69,3; 69,3; 69,3; 69,3
"011 Statsydelse "; 64,4; 65,9; 69,3; 69,3; 69,3; 69,3
"0111 Statsydelse "; 64,4; 65,9; 69,3; 69,3; 69,3; 69,3
"011101 Statsydelse "; 64,4; 65,9; 69,3; 69,3; 69,3; 69,3
"01110110 Almindelig virksomhed "; 64,4; 65,9; 69,3; 69,3; 69,3; 69,3
"02 Medlemmer af det kongelige hus m.fl. "; 21,1; 21,7; 23,7; 23,7; 23,7; 23,7
"021 Årpenge mv. "; 21,1; 21,7; 23,7; 23,7; 23,7; 23,7
"0211 Årpenge mv. "; 21,1; 21,7; 23,7; 23,7; 23,7; 23,7
"021101 Årpenge mv. "; 21,1; 21,7; 23,7; 23,7; 23,7; 23,7
"02110110 Almindelig virksomhed "; 21,1; 21,7; 23,7; 23,7; 23,7; 23,7
"03 Folketinget "; 876,6; 877,9; 1119,8; 930,9; 931,9; 931,9
"031 Udgifter ved Folketinget "; 582,3; 576,4; 796,2; 610,4; 610,6; 610,6
"0311 Folketinget "; 582,3; 576,4; 796,2; 610,4; 610,6; 610,6
"031101 Folketinget "; 343,4; 334,4; 403,4; 353,7; 353,9; 353,9
"03110110 Almindelig virksomhed "; 322,6; 304,4; 370,7; 322,7; 322,9; 322,9
"03110130 Udvalgsarbejde "; 9,2; 15,9; 16,1; 16,6; 16,6; 16,6
"03110140 Interparlamentariske forsamlinger "; 11,6; 14,1; 16,6; 14,4; 14,4; 14,4
"031103 Folketingets medlemmer "; 238,9; 242,0; 270,3; 256,7; 256,7; 256,7
"03110310 Folketingsvederlag og boliggodtgørelse "; 121,7; 122,6; 142,4; 128,8; 128,8; 128,8
"03110320 Befordringsudgifter "; 10,6; 12,5; 12,2; 12,2; 12,2; 12,2
"03110330 Folketingsgruppestøtte "; 106,6; 106,9; 115,7; 115,7; 115,7; 115,7
"031105 Erhvervelse af medlemsboliger "; 0,0; 0,0; 122,5; 0,0; 0,0; 0,0
"03110510 Erhvervelse og ombygning af medlemsboliger "; 0,0; 0,0; 122,5; 0,0; 0,0; 0,0
"032 Folketingets Ombudsmand "; 47,3; 49,9; 55,2; 53,6; 53,6; 53,6
"0321 Folketingets Ombudsmand "; 47,3; 49,9; 55,2; 53,6; 53,6; 53,6
"032101 Folketingets Ombudsmand "; 47,3; 49,9; 55,2; 53,6; 53,6; 53,6
"03210110 Almindelig virksomhed "; 47,3; 49,9; 55,2; 53,6; 53,6; 53,6
"033 Statsrevisorerne og Rigsrevisionen "; 182,9; 187,9; 198,0; 198,5; 199,3; 199,3
"0331 Statsrevisorerne og Rigsrevisionen "; 182,9; 187,9; 198,0; 198,5; 199,3; 199,3
"033101 Statsrevisorerne "; 4,5; 4,8; 5,3; 5,1; 5,1; 5,1
"03310110 Almindelig virksomhed "; 4,5; 4,8; 5,3; 5,1; 5,1; 5,1
"033111 Rigsrevisionen "; 178,4; 183,1; 192,7; 193,4; 194,2; 194,2
"03311110 Almindelig virksomhed "; 178,4; 183,1; 192,7; 193,4; 194,2; 194,2
"034 Folketingets pensioner "; 64,0; 63,7; 70,4; 68,4; 68,4; 68,4
"0341 Folketingets pensioner "; 64,0; 63,7; 70,4; 68,4; 68,4; 68,4
"034101 Folketingets pensioner "; 64,0; 63,7; 70,4; 68,4; 68,4; 68,4
"03410110 Folketingets medlemspensioner "; 40,8; 39,9; 45,6; 42,0; 42,0; 42,0
"03410130 Folketingets administrations pensioner "; 14,4; 15,0; 15,8; 15,8; 15,8; 15,8
"03410140 Folketingets Ombudsmands pensioner "; 0,8; 0,8; 0,6; 0,8; 0,8; 0,8
"03410150 Statsrevisorernes pensioner "; 1,2; 1,3; 1,2; 1,3; 1,3; 1,3
"03410160 Rigsrevisionens pensioner "; 6,8; 6,7; 7,2; 8,5; 8,5; 8,5
"05 Statsministeriet "; 116,3; 123,6; 133,9; 114,9; 111,9; 110,0
"051 Fællesudgifter "; 116,3; 123,6; 133,9; 114,9; 111,9; 110,0
"0511 Centralstyrelsen "; 94,2; 101,6; 111,7; 92,0; 89,0; 87,1
"051101 Departementet "; 80,8; 89,2; 97,3; 78,3; 75,9; 74,0
"05110110 Almindelig virksomhed "; 80,8; 89,2; 97,3; 78,3; 75,9; 74,0
"051103 Vederlag og repræsentationstillæg t. ministre "; 12,7; 12,7; 13,6; 13,1; 12,4; 12,4
"05110310 Almindelig virksomhed "; 0,1; 0,1; 0,1; 0,1; 0,1; 0,1
"05110320 Vederlag til ministre "; 11,6; 12,2; 12,3; 12,3; 12,3; 12,3
"05110330 Eftervederlag til tidligere ministre "; 1,0; 0,4; 1,2; 0,7; 0,0; 0,0
"051105 Tilskud "; 0,8; 0,8; 0,8; 0,8; 0,8; 0,8
"05110510 Avisårbogen "; 0,3; 0,3; 0,3; 0,3; 0,3; 0,3
"05110520 Nordatlantens Brygge "; 0,5; 0,5; 0,5; 0,5; 0,5; 0,5
"051179 Reserver og budgetregulering "; 0,0; -1,1; 0,0; -0,2; -0,1; -0,1
"05117910 Obligatorisk opsparing "; 0,0; -1,1; 0,0; 0,0; 0,0; 0,0
"05117986 Budgetregulering vedr. ASC "; 0,0; 0,0; 0,0; -0,5; -0,6; -0,6
"05117987 Reserve til betaling til ASC "; 0,0; 0,0; 0,0; 0,3; 0,5; 0,5
"0512 Grønland og Færøerne "; 22,0; 22,0; 22,2; 22,9; 22,9; 22,9
"051203 Rigsombudsmanden i Grønland "; 12,2; 12,1; 12,2; 12,6; 12,6; 12,6
"05120310 Almindelig virksomhed "; 12,2; 12,1; 12,2; 12,6; 12,6; 12,6
"051251 Rigsombudsmanden på Færøerne "; 9,8; 9,9; 10,0; 10,3; 10,3; 10,3
"05125110 Almindelig virksomhed "; 9,8; 9,9; 10,0; 10,3; 10,3; 10,3
"06 Udenrigsministeriet "; 14018,7; 15243,5; 16471,5; 16085,7; 16216,7; 16348,2
"061 Udenrigstjenesten m.v. "; 2077,7; 2058,8; 2735,9; 2139,5; 2065,3; 2028,8
"0611 Udenrigstjenesten "; 2077,7; 2058,8; 2735,9; 2139,5; 2065,3; 2028,8
"061101 Udenrigstjenesten "; 1893,3; 1916,8; 2135,2; 1951,2; 1881,0; 1845,0
"06110110 Generel udenrigspolitik "; 652,5; 621,8; 672,5; 620,9; 596,5; 585,5
"06110120 Administration af udviklingsbistand "; 690,5; 685,3; 803,8; 694,7; 671,9; 671,9
"06110130 Eksport- og investeringsfremme mv. "; 369,1; 375,5; 391,1; 384,2; 361,5; 341,5
"06110140 Borgerservice "; 166,4; 199,0; 231,2; 214,8; 214,5; 209,5
"06110180 Udenrigsministeriets Kompetencecenter "; 0,0; 21,4; 22,2; 22,2; 22,2; 22,2
"06110190 Kompetencecentret "; 14,8; 13,8; 14,4; 14,4; 14,4; 14,4
"061104 Regeringens fællesudgifter vedr. COP15 "; 0,0; 0,0; 397,4; 8,5; 8,5; 8,5
"06110410 Fællesudgifter "; 0,0; 0,0; 397,4; 8,5; 8,5; 8,5
"061105 Indtægter fra borgerserviceydelser "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06110510 Indtægter fra borgerservicesager "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061113 DCISM "; 174,4; 165,3; 171,3; 168,6; 168,5; 167,7
"06111310 Almindelig virksomhed "; 75,5; 73,8; 76,0; 73,3; 73,2; 72,4
"06111390 Indtægtsdækket virksomhed "; 5,7; 2,6; 2,7; 2,7; 2,7; 2,7
"06111395 Tilskudsfinansieret virksomhed "; 18,2; 17,7; 18,4; 18,4; 18,4; 18,4
"06111397 Andre tilskudsfinansierede aktiviteter "; 75,0; 71,2; 74,2; 74,2; 74,2; 74,2
"061115 Ikke-lovbundne tilskud "; 11,8; 13,8; 32,0; 14,7; 11,3; 11,2
"06111510 Tilskud til oplysningsarbejde m.v. "; 5,3; 3,9; 10,3; 5,3; 5,3; 5,2
"06111520 Tilskud til internationale institutioner "; 6,4; 4,5; 5,2; 4,0; 3,9; 3,9
"06111530 Int. presseindsatser "; 0,0; 5,4; 5,4; 5,4; 2,1; 2,1
"06111540 Moderne sikkerhed "; 0,0; 0,0; 11,1; 0,0; 0,0; 0,0
"061119 Bilateralt naboskabsprogram "; -1,7; 0,0; 0,0; 0,0; 0,0; 0,0
"06111915 indsatser på Balkan "; -1,3; 0,0; 0,0; 0,0; 0,0; 0,0
"06111920 Demokratifonden "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06111925 Støtteindsatser i EU's nabolande "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"061179 Reserver og budgetregulering "; 0,0; -37,1; 0,0; -3,5; -4,0; -3,6
