"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2009";"2010";"2011";"2012";"2013";"2014" 
"05 Statsministeriet "; 0,0; 0,0; -0,4; -0,4; -0,5; -0,6
"051 Fællesudgifter "; 0,0; 0,0; -0,4; -0,4; -0,5; -0,6
"0511 Centralstyrelsen "; 0,0; 0,0; -0,4; -0,4; -0,5; -0,6
"051101 Departementet "; 0,0; 0,0; -0,4; -0,4; -0,5; -0,6
"05110110 Almindelig virksomhed "; 0,0; 0,0; -0,4; -0,4; -0,5; -0,6
"06 Udenrigsministeriet "; 0,0; 0,0; -110,4; 58,6; 21,3; 20,9
"061 Udenrigstjenesten m.v. "; 0,0; 0,0; 45,2; 44,6; 21,3; 20,9
"0611 Udenrigstjenesten mv. "; 0,0; 0,0; 45,2; 44,6; 21,3; 20,9
"061101 Udenrigstjenesten "; 0,0; 0,0; 36,8; 36,3; 16,3; 15,9
"06110110 Generel udenrigspolitik "; 0,0; 0,0; 21,8; 21,8; 16,3; 15,9
"06110130 Eksport- og investeringsfremme mv. "; 0,0; 0,0; 15,0; 14,5; 0,0; 0,0
"061113 DCISM "; 0,0; 0,0; 4,3; 4,2; 4,1; 4,1
"06111310 Almindelig virksomhed "; 0,0; 0,0; 4,3; 4,2; 4,1; 4,1
"061115 Ikke-lovbundne tilskud "; 0,0; 0,0; 4,1; 4,1; 0,9; 0,9
"06111520 Tilskud til internationale institutioner "; 0,0; 0,0; 0,9; 0,9; 0,9; 0,9
"06111530 Int. presseindsatser "; 0,0; 0,0; 3,2; 3,2; 0,0; 0,0
"063 Bistand til udviklingslandene "; 0,0; 0,0; -184,1; 0,0; 0,0; 0,0
"0631 Reserver "; 0,0; 0,0; -1,3; 0,0; 0,0; 0,0
"063179 Reserver "; 0,0; 0,0; -1,3; 0,0; 0,0; 0,0
"06317910 Reserve "; 0,0; 0,0; -1,3; 0,0; 0,0; 0,0
"0632 Bilateral bistand "; 0,0; 0,0; 92,2; 0,0; 0,0; 0,0
