"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2011";"2012";"2013";"2014";"2015";"2016" 
"06 Udenrigsministeriet "; 0,0; 0,0; -111,8; 6,4; 6,4; 6,4
"061 Udenrigstjenesten mv. "; 0,0; 0,0; 33,0; 25,0; 25,0; 25,0
"0611 Udenrigstjenesten mv. "; 0,0; 0,0; 33,0; 25,0; 25,0; 25,0
"061101 Udenrigstjenesten "; 0,0; 0,0; 30,0; 25,0; 25,0; 25,0
"06110110 Generel udenrigspolitik "; 0,0; 0,0; 25,0; 25,0; 25,0; 25,0
"06110130 Eksport- og investeringsfremme mv. "; 0,0; 0,0; 5,0; 0,0; 0,0; 0,0
"061112 Dansk Institut for Internationale Studier "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"06111210 Almindelig virksomhed "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"062 Internationale organisationer "; 0,0; 0,0; -6,8; -18,6; -18,6; -18,6
"0621 Nordiske formål "; 0,0; 0,0; -6,8; -18,6; -18,6; -18,6
"062101 Nordisk Ministerråd "; 0,0; 0,0; -6,8; -18,6; -18,6; -18,6
"06210110 Nordisk Ministerråd "; 0,0; 0,0; -6,8; -18,6; -18,6; -18,6
"063 Bistand til udviklingslandene "; 0,0; 0,0; -143,0; 0,0; 0,0; 0,0
"0632 Bilateral bistand "; 0,0; 0,0; -143,0; 0,0; 0,0; 0,0
"063201 Udviklingslande i Afrika "; 0,0; 0,0; -50,0; 0,0; 0,0; 0,0
"06320126 AK "; 0,0; 0,0; -50,0; 0,0; 0,0; 0,0
"063205 Danidas erhvervsindsatser "; 0,0; 0,0; -50,0; 0,0; 0,0; 0,0
"06320518 Danida Business Finance "; 0,0; 0,0; -50,0; 0,0; 0,0; 0,0
"063208 Øvrig bistand "; 0,0; 0,0; -43,0; 0,0; 0,0; 0,0
"06320870 Demokrati og menneskerettigheder "; 0,0; 0,0; -43,0; 0,0; 0,0; 0,0
"064 eksportfremme "; 0,0; 0,0; 5,0; 0,0; 0,0; 0,0
"0641 Fællesudgifter "; 0,0; 0,0; 5,0; 0,0; 0,0; 0,0
"064103 Særlige eksportfremmetilskud "; 0,0; 0,0; 5,0; 0,0; 0,0; 0,0
"06410310 smv-programmet "; 0,0; 0,0; 5,0; 0,0; 0,0; 0,0
"07 Finansministeriet "; 0,0; 0,0; 261,5; 70,1; 70,1; 55,1
"071 Offentlig økonomi "; 0,0; 0,0; 232,4; 41,0; 41,0; 26,0
"0712 Digitalisering "; 0,0; 0,0; 34,9; 15,0; 15,0; 0,0
"071201 Digitaliseringsstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07120110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071203 Fonden for Velfærdsteknologi "; 0,0; 0,0; 20,9; 1,0; 1,0; 0,0
"07120310 FVT - Administration "; 0,0; 0,0; 8,0; 0,0; 0,0; 0,0
"07120330 FVT - Reserver og budgetregulering "; 0,0; 0,0; 12,9; 1,0; 1,0; 0,0
"071205 Netværkssamfundet "; 0,0; 0,0; 14,0; 14,0; 14,0; 0,0
"07120552 It-sikkerhed "; 0,0; 0,0; 14,0; 14,0; 14,0; 0,0
"0713 Administration "; 0,0; 0,0; 230,5; 59,0; 59,0; 59,0
"071301 Statens Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07130110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071305 Fleksjobordning i staten mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07130510 Fleksjobordning i staten mv. "; 0,0; 0,0; -605,2; -621,4; -646,4; -680,7
"07130520 Fleksjob - ansatte efter 1. januar 2013 "; 0,0; 0,0; 42,9; 113,6; 187,9; 266,7
"07130530 Fleksjob - ansatte før 1. jan. 2013 "; 0,0; 0,0; 562,3; 507,8; 458,5; 414,0
"071306 Barselsfonden "; 0,0; 0,0; -15,0; -15,0; -15,0; -15,0
"07130610 Barselsfonden "; 0,0; 0,0; -15,0; -15,0; -15,0; -15,0
"071312 Afdrag på lån under bestyrelse af SAM "; 0,0; 0,0; 171,5; 0,0; 0,0; 0,0
"07131210 Afdrag og indfrielser "; 0,0; 0,0; 171,5; 0,0; 0,0; 0,0
"071315 Diverse indtægter mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07131550 Ventekonto for NemKonto "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071340 Regulering vedr. tipsfonde "; 0,0; 0,0; 74,0; 74,0; 74,0; 74,0
"07134030 Regulering vedrørende tipsfonde (07.18) "; 0,0; 0,0; 74,0; 74,0; 74,0; 74,0
"0715 Statslige selskaber "; 0,0; 0,0; -33,0; -33,0; -33,0; -33,0
"071505 Indt. fra Danske Spils overskud i Grønland "; 0,0; 0,0; -33,0; -33,0; -33,0; -33,0
"07150510 Indt. fra Danske Spils overskud fra Grønland "; 0,0; 0,0; -33,0; -33,0; -33,0; -33,0
"0718 Tipsfonde "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071803 Fond til undervisning og folkeoplysning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180330 Min. f. Børn og Undv. fond til undv. og f.opl"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071809 Fond til humanitære og almennyttige formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180950 De landsdækkende almennyttige organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180960 Støtte til andre almennyttige formål mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071814 Fond til idrætsorganisationer mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181420 Team Danmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181430 Danmarks Idrætsforbund "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181440 Danske Gymnastik- og idrætsforeninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181450 Dansk Firmaidrætsforbund "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181460 Lokale- og anlægsfonden "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181470 Hestevæddeløbssportens Finansieringsfond "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071815 Fond til kulturelle formål mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181520 Kulturministeriets fond til kulturelle formål"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181530 Landsdækkende oplysningsforbund m.fl. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181540 Ungdomsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071816 Fond til forskningsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181630 Støtte til forskningsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071817 Ministeriet for Sundhed og Forebyggelse "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181720 Sygdomsbekæmpende organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071818 Miljøministeriets fond til friluftsliv "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181820 Friluftsliv m.v. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071819 Socil og Intg.min. fond til sociale formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181920 Pulje til handicaporg. og -foreninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181930 Ældreorganisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181940 Landsdækkende frivillige organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181950 Særlige sociale formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"073 Grønland og Færøerne "; 0,0; 0,0; 29,1; 29,1; 29,1; 29,1
"0731 Grønland "; 0,0; 0,0; 29,1; 29,1; 29,1; 29,1
"073101 Generelt tilskud til Grønlands Selvstyre "; 0,0; 0,0; -9,0; -9,0; -9,0; -9,0
"07310110 Generelt tilskud til Grønlands Selvstyre "; 0,0; 0,0; -9,0; -9,0; -9,0; -9,0
"073104 Tilskud til Grønlands Selvstyre spilleområdet "; 0,0; 0,0; 38,1; 38,1; 38,1; 38,1
"07310410 Tilskud til Grønlands Selvstyre spilleområdet"; 0,0; 0,0; 38,1; 38,1; 38,1; 38,1
"08 Erhvervs- og Vækstministeriet "; 0,0; 0,0; 2144,6; 156,0; 226,1; -35,5
"081 Fællesudgifter "; 0,0; 0,0; 36,3; 1,9; 2,5; 1,0
"0811 Centralstyrelsen "; 0,0; 0,0; 36,3; 1,9; 2,5; 1,0
"081101 Departementet "; 0,0; 0,0; 4,9; 5,4; 4,0; 2,5
"08110110 Almindelig virksomhed "; 0,0; 0,0; 4,9; 5,4; 4,0; 2,5
"081179 Reserver og budgetregulering "; 0,0; 0,0; 31,4; -3,5; -1,5; -1,5
"08117910 Lønninger mv. "; 0,0; 0,0; -1,7; -1,6; -1,3; -1,3
"08117940 Reserver "; 0,0; 0,0; -1,9; -1,9; -0,2; -0,2
"08117944 Grønne maritime løsninger og industriel symbi"; 0,0; 0,0; 35,0; 0,0; 0,0; 0,0
"082 Erhvervsregulering "; 0,0; 0,0; 152,0; -49,4; 35,3; -70,5
"0821 Erhvervsreg. og forbrugerbeskyttelse "; 0,0; 0,0; -48,0; -49,4; -64,7; -70,5
"082101 Konkurrence- og Forbrugerstyrelsen "; 0,0; 0,0; 5,2; 0,2; 0,2; 0,2
"08210110 Almindelig virksomhed "; 0,0; 0,0; 0,2; 0,2; 0,2; 0,2
"08210111 Forsyningssekretariatet "; 0,0; 0,0; 5,0; 0,0; 0,0; 0,0
"082120 Erhvervsstyrelsen "; 0,0; 0,0; 33,1; 36,7; 21,4; 15,6
"08212010 Almindelig virksomhed "; 0,0; 0,0; 33,1; 36,7; 21,4; 15,6
"082126 Frekvensauktioner "; 0,0; 0,0; -73,9; -73,9; -73,9; -73,9
"08212640 800 MHz-auktion "; 0,0; 0,0; -73,9; -73,9; -73,9; -73,9
"082127 Frekvens- og nummerafgifter "; 0,0; 0,0; -12,4; -12,4; -12,4; -12,4
"08212710 Frekvens- og nummerafgifter "; 0,0; 0,0; -12,4; -12,4; -12,4; -12,4
"0823 Finansielt tilsyn "; 0,0; 0,0; 200,0; 0,0; 100,0; 0,0
"082301 Finanstilsynet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08230110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082306 Indtægter fra Bankpakken og Kreditpakken "; 0,0; 0,0; 200,0; 0,0; 100,0; 0,0
"08230615 Provision af individuelle garantier "; 0,0; 0,0; 200,0; 0,0; 100,0; 0,0
"083 Erhvervsfremme "; 0,0; 0,0; 1962,8; 210,0; 192,8; 38,5
"0831 Fællesudgifter "; 0,0; 0,0; 56,7; 56,7; 38,5; 38,5
"083106 Maritime nød- og sikkershedstjenester "; 0,0; 0,0; 56,7; 56,7; 38,5; 38,5
"08310610 Udgifter til maritime nød- og sik.tjenster "; 0,0; 0,0; 56,7; 56,7; 38,5; 38,5
"0832 Erhvervsudvikling, iværksætteri og innovation "; 0,0; 0,0; 199,6; 135,3; 138,3; 0,0
"083204 Markedsmodningsfonden "; 0,0; 0,0; 128,2; 128,2; 128,2; 0,0
"08320410 Markedsmodningsfonden "; 0,0; 0,0; 128,2; 128,2; 128,2; 0,0
"083208 Iværksætteri- og innovationsinitiativer "; 0,0; 0,0; 8,9; -1,0; 0,0; 0,0
"08320810 Fonden til entreprenørskab "; 0,0; 0,0; 9,9; 0,0; 0,0; 0,0
"08320820 Iværksætteri- og innovationsinitiativer "; 0,0; 0,0; -1,0; -1,0; 0,0; 0,0
"083209 Væksthusene og grønt iværksætterhus "; 0,0; 0,0; 19,1; 4,7; 4,7; 0,0
"08320930 Væksthuse, kurser, early warning "; 0,0; 0,0; 4,7; 4,7; 4,7; 0,0
"08320940 Grønt iværksætterhus "; 0,0; 0,0; 14,4; 0,0; 0,0; 0,0
"083210 Design "; 0,0; 0,0; 1,0; 1,0; 3,0; 0,0
"08321015 Designprisen INDEX: Award "; 0,0; 0,0; 1,0; 1,0; 3,0; 0,0
"083211 Kultur- og oplevelsesøkonomi "; 0,0; 0,0; 2,4; 2,4; 2,4; 0,0
"08321120 Center for kultur- og oplevelsesøkonomi "; 0,0; 0,0; 2,4; 2,4; 2,4; 0,0
"083215 Reserve til grøn omstillingsfond "; 0,0; 0,0; 40,0; 0,0; 0,0; 0,0
"08321510 Grøn omstillingsfond "; 0,0; 0,0; 40,0; 0,0; 0,0; 0,0
"0833 Vækstfinansiering "; 0,0; 0,0; 1698,5; 10,0; 10,0; 0,0
"083315 Vækstfonden "; 0,0; 0,0; 10,0; 10,0; 10,0; 0,0
"08331530 Tidlig idéfinansiering - proof of business "; 0,0; 0,0; 10,0; 10,0; 10,0; 0,0
"083318 EBRD og EIB "; 0,0; 0,0; 1688,5; 0,0; 0,0; 0,0
"08331820 Den Europæiske Investeringsbank (EIB) "; 0,0; 0,0; 1688,5; 0,0; 0,0; 0,0
