"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2012";"2013";"2014";"2015";"2016";"2017" 
"01 Dronningen "; 76,1; 72,1; 72,3; 72,3; 72,3; 72,3
"011 Statsydelse "; 76,1; 72,1; 72,3; 72,3; 72,3; 72,3
"0111 Statsydelse "; 76,1; 72,1; 72,3; 72,3; 72,3; 72,3
"011101 Statsydelse "; 76,1; 72,1; 72,3; 72,3; 72,3; 72,3
"01110110 Almindelig virksomhed "; 76,1; 72,1; 72,3; 72,3; 72,3; 72,3
"05 Statsministeriet "; 149,4; 142,5; 141,8; 140,7; 139,7; 138,6
"051 Fællesudgifter "; 149,4; 142,5; 141,8; 140,7; 139,7; 138,6
"0511 Centralstyrelsen "; 122,6; 119,8; 119,7; 119,2; 118,4; 117,5
"051101 Departementet "; 93,4; 88,4; 88,2; 87,7; 86,9; 86,0
"05110110 Almindelig virksomhed "; 93,4; 88,4; 88,2; 87,7; 86,9; 86,0
"051103 Vederlag og repræsentationstillæg t. ministre "; 28,8; 30,9; 31,0; 31,0; 31,0; 31,0
"05110310 Almindelig virksomhed "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"05110320 Vederlag til ministre "; 15,0; 15,1; 15,2; 15,2; 15,2; 15,2
"05110330 Eftervederlag til tidligere ministre "; 13,8; 15,7; 15,7; 15,7; 15,7; 15,7
"051105 Tilskud "; 0,5; 0,5; 0,5; 0,5; 0,5; 0,5
"05110520 Nordatlantens Brygge "; 0,5; 0,5; 0,5; 0,5; 0,5; 0,5
"0512 Grønland og Færøerne "; 26,8; 22,7; 22,1; 21,5; 21,3; 21,1
"051203 Rigsombudsmanden i Grønland "; 14,0; 12,2; 11,2; 11,1; 11,0; 10,9
"05120310 Almindelig virksomhed "; 14,0; 12,2; 11,2; 11,1; 11,0; 10,9
"051251 Rigsombudsmanden på Færøerne "; 12,8; 10,5; 10,9; 10,4; 10,3; 10,2
"05125110 Almindelig virksomhed "; 12,8; 10,5; 10,9; 10,4; 10,3; 10,2
