"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2003";"2004";"2005";"2006";"2007";"2008" 
"01 Dronningen "; 58,1; 59,7; 61,4; 61,4; 61,4; 61,4
"011 Statsydelse "; 58,1; 59,7; 61,4; 61,4; 61,4; 61,4
"0111 Statsydelse "; 58,1; 59,7; 61,4; 61,4; 61,4; 61,4
"011101 Statsydelse "; 58,1; 59,7; 61,4; 61,4; 61,4; 61,4
"01110110 Almindelig virksomhed "; 58,1; 59,7; 61,4; 61,4; 61,4; 61,4
"02 Medlemmer af det kongelige hus "; 7,9; 8,1; 20,1; 18,8; 18,8; 18,8
"021 Årpenge "; 7,9; 8,1; 20,1; 18,8; 18,8; 18,8
"0211 Årpenge "; 7,9; 8,1; 20,1; 18,8; 18,8; 18,8
"021101 Årpenge "; 7,9; 8,1; 20,1; 18,8; 18,8; 18,8
"02110110 Almindelig virksomhed "; 7,9; 8,1; 20,1; 18,8; 18,8; 18,8
"03 Folketinget "; 778,7; 784,8; 813,8; 801,9; 801,9; 801,9
"031 Udgifter ved Folketinget "; 576,5; 575,7; 596,2; 586,7; 586,7; 586,7
"0311 Folketinget "; 576,5; 575,7; 596,2; 586,7; 586,7; 586,7
"031101 Administration "; 266,2; 262,4; 278,1; 266,4; 266,4; 266,4
"03110110 Almindelig virksomhed "; 227,9; 241,1; 257,5; 247,1; 247,1; 247,1
"03110120 Projekter "; 38,3; 21,3; 20,6; 19,3; 19,3; 19,3
"031102 Folketingets adm. pensionsud.og overførs.indt "; 14,2; 15,3; 14,5; 14,5; 14,5; 14,5
"03110210 Almindelig virksomhed "; 14,2; 15,3; 14,5; 14,5; 14,5; 14,5
"031103 Det parlamentariske arbejde "; 267,6; 268,0; 270,8; 273,0; 273,0; 273,0
"03110310 Folketingsvederlag og boliggodtgørelse "; 122,3; 110,3; 113,2; 113,2; 113,2; 113,2
"03110320 Befordringsudgifter "; 11,5; 12,6; 12,8; 12,8; 12,8; 12,8
"03110330 Folketingsgruppestøtte "; 98,3; 101,7; 103,3; 103,5; 103,5; 103,5
"03110340 Udvalgsarbejde m.v. "; 24,1; 29,4; 27,5; 28,9; 28,9; 28,9
"03110350 Interparlamentariske forsamlinger "; 11,5; 14,0; 14,0; 14,6; 14,6; 14,6
"031104 Folketingspensioner "; 28,5; 30,0; 32,8; 32,8; 32,8; 32,8
"03110410 Almindelig virksomhed "; 28,5; 30,0; 32,8; 32,8; 32,8; 32,8
"032 Folketingets Ombudsmand "; 38,2; 40,5; 44,2; 42,0; 42,0; 42,0
"0321 Folketingets Ombudsmand "; 38,2; 40,5; 44,2; 42,0; 42,0; 42,0
"032101 Folketingets Ombudsmand "; 37,5; 39,7; 43,4; 41,2; 41,2; 41,2
"03210110 Almindelig virksomhed "; 37,5; 39,7; 43,4; 41,2; 41,2; 41,2
"032102 Folketingets Ombudsmands pens.udg. og ovf.ind "; 0,7; 0,8; 0,8; 0,8; 0,8; 0,8
"03210210 Almindelig virksomhed "; 0,7; 0,8; 0,8; 0,8; 0,8; 0,8
"033 Statsrevisoratet og Rigsrevisionen "; 164,0; 168,6; 173,4; 173,2; 173,2; 173,2
"0331 Statsrevisoratet og Rigsrevisionen "; 164,0; 168,6; 173,4; 173,2; 173,2; 173,2
