"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2005";"2006";"2007";"2008";"2009";"2010" 
"01 Dronningen "; 61,5; 62,4; 64,3; 64,3; 64,3; 64,3
"011 Statsydelse "; 61,5; 62,4; 64,3; 64,3; 64,3; 64,3
"0111 Statsydelse "; 61,5; 62,4; 64,3; 64,3; 64,3; 64,3
"011101 Statsydelse "; 61,5; 62,4; 64,3; 64,3; 64,3; 64,3
"01110110 Almindelig virksomhed "; 61,5; 62,4; 64,3; 64,3; 64,3; 64,3
"02 Medlemmer af det kongelige hus "; 20,1; 20,4; 21,1; 21,1; 21,1; 21,1
"021 Årpenge "; 20,1; 20,4; 21,1; 21,1; 21,1; 21,1
"0211 Årpenge "; 20,1; 20,4; 21,1; 21,1; 21,1; 21,1
"021101 Årpenge "; 20,1; 20,4; 21,1; 21,1; 21,1; 21,1
"02110110 Almindelig virksomhed "; 20,1; 20,4; 21,1; 21,1; 21,1; 21,1
"03 Folketinget "; 818,6; 848,4; 858,8; 851,9; 851,9; 851,9
"031 Udgifter ved Folketinget "; 603,8; 623,3; 618,6; 613,8; 613,8; 613,8
"0311 Folketinget "; 603,8; 623,3; 618,6; 613,8; 613,8; 613,8
"031101 Administration "; 283,5; 310,4; 299,5; 294,9; 294,9; 294,9
"03110110 Almindelig virksomhed "; 274,1; 291,4; 284,7; 276,4; 276,4; 276,4
"03110120 Projekter "; 9,4; 19,0; 14,8; 18,5; 18,5; 18,5
"031102 Folketingets adm. pensionsud.og overførs.indt "; 14,4; 13,4; 15,0; 14,7; 14,7; 14,7
"03110210 Almindelig virksomhed "; 14,4; 13,4; 15,0; 14,7; 14,7; 14,7
"031103 Det parlamentariske arbejde "; 272,8; 265,9; 264,1; 266,8; 266,8; 266,8
"03110310 Folketingsvederlag og boliggodtgørelse "; 139,7; 136,7; 123,5; 119,5; 119,5; 119,5
"03110320 Befordringsudgifter "; 12,4; 13,0; 10,7; 13,2; 13,2; 13,2
"03110330 Folketingsgruppestøtte "; 104,9; 102,0; 106,7; 104,2; 104,2; 104,2
"03110340 Udvalgsarbejde m.v. "; 0,0; 0,0; 11,6; 15,8; 15,8; 15,8
"03110350 Interparlamentariske forsamlinger "; 15,8; 14,2; 11,6; 14,1; 14,1; 14,1
"031104 Folketingspensioner "; 33,1; 33,6; 40,0; 37,4; 37,4; 37,4
"03110410 Almindelig virksomhed "; 33,1; 33,6; 40,0; 37,4; 37,4; 37,4
"032 Folketingets Ombudsmand "; 43,3; 45,1; 48,6; 48,3; 48,3; 48,3
"0321 Folketingets Ombudsmand "; 43,3; 45,1; 48,6; 48,3; 48,3; 48,3
"032101 Folketingets Ombudsmand "; 42,6; 44,3; 47,8; 47,5; 47,5; 47,5
"03210110 Almindelig virksomhed "; 42,6; 44,3; 47,8; 47,5; 47,5; 47,5
"032102 Folketingets Ombudsmands pens.udg. og ovf.ind "; 0,7; 0,8; 0,8; 0,8; 0,8; 0,8
"03210210 Almindelig virksomhed "; 0,7; 0,8; 0,8; 0,8; 0,8; 0,8
"033 Statsrevisoratet og Rigsrevisionen "; 171,4; 180,0; 191,6; 189,8; 189,8; 189,8
"0331 Statsrevisoratet og Rigsrevisionen "; 171,4; 180,0; 191,6; 189,8; 189,8; 189,8
"033101 Statsrevisoratet "; 5,2; 5,8; 6,0; 6,1; 6,1; 6,1
"03310110 Almindelig virksomhed "; 5,2; 5,8; 6,0; 6,1; 6,1; 6,1
