"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2008";"2009";"2010";"2011";"2012";"2013" 
"01 Dronningen "; 66,9; 69,3; 71,2; 71,2; 71,2; 71,2
"011 Statsydelse "; 66,9; 69,3; 71,2; 71,2; 71,2; 71,2
"0111 Statsydelse "; 66,9; 69,3; 71,2; 71,2; 71,2; 71,2
"011101 Statsydelse "; 66,9; 69,3; 71,2; 71,2; 71,2; 71,2
"01110110 Almindelig virksomhed "; 66,9; 69,3; 71,2; 71,2; 71,2; 71,2
"02 Medlemmer af det kongelige hus m.fl. "; 22,4; 23,7; 24,3; 24,3; 24,3; 24,3
"021 Årpenge mv. "; 22,4; 23,7; 24,3; 24,3; 24,3; 24,3
"0211 Årpenge mv. "; 22,4; 23,7; 24,3; 24,3; 24,3; 24,3
"021101 Årpenge mv. "; 22,4; 23,7; 24,3; 24,3; 24,3; 24,3
"02110110 Almindelig virksomhed "; 22,4; 23,7; 24,3; 24,3; 24,3; 24,3
"03 Folketinget "; 933,5; 947,1; 1010,3; 978,9; 976,7; 977,2
"031 Udgifter ved Folketinget "; 620,5; 628,1; 673,6; 647,7; 645,5; 646,0
"0311 Folketinget "; 620,5; 628,1; 673,6; 647,7; 645,5; 646,0
"031101 Folketinget "; 346,5; 357,8; 386,1; 387,9; 386,3; 386,8
"03110110 Almindelig virksomhed "; 319,9; 325,3; 354,7; 354,9; 354,9; 355,0
"03110130 Udvalgsarbejde "; 13,8; 16,1; 16,8; 16,8; 16,8; 16,7
"03110140 Interparlamentariske forsamlinger "; 12,8; 16,4; 14,6; 16,2; 14,6; 15,1
"031103 Folketingets medlemmer "; 274,0; 270,3; 262,2; 257,8; 257,0; 257,0
"03110310 Folketingsvederlag og boliggodtgørelse "; 149,3; 142,4; 131,3; 128,6; 127,8; 127,8
"03110320 Befordringsudgifter "; 10,8; 12,2; 11,8; 11,8; 11,8; 11,8
"03110330 Folketingsgruppestøtte "; 113,9; 115,7; 119,1; 117,4; 117,4; 117,4
"031105 Erhvervelse af medlemsboliger "; 0,0; 0,0; 25,0; 0,0; 0,0; 0,0
"03110510 Erhvervelse og ombygning af medlemsboliger "; 0,0; 0,0; 25,0; 0,0; 0,0; 0,0
"031106 Medlemsboliger "; 0,0; 0,0; 0,3; 2,0; 2,2; 2,2
"03110610 Drift af medlemsboliger "; 0,0; 0,0; 0,3; 2,0; 2,2; 2,2
"032 Folketingets Ombudsmand "; 48,6; 54,0; 55,7; 55,7; 55,7; 55,7
"0321 Folketingets Ombudsmand "; 48,6; 54,0; 55,7; 55,7; 55,7; 55,7
"032101 Folketingets Ombudsmand "; 48,6; 54,0; 55,7; 55,7; 55,7; 55,7
"03210110 Almindelig virksomhed "; 48,6; 54,0; 55,7; 55,7; 55,7; 55,7
"033 Statsrevisorerne og Rigsrevisionen "; 194,1; 197,7; 205,1; 205,8; 205,8; 205,8
"0331 Statsrevisorerne og Rigsrevisionen "; 194,1; 197,7; 205,1; 205,8; 205,8; 205,8
"033101 Statsrevisorerne "; 5,0; 5,1; 5,3; 5,3; 5,3; 5,3
"03310110 Almindelig virksomhed "; 5,0; 5,1; 5,3; 5,3; 5,3; 5,3
"033111 Rigsrevisionen "; 189,1; 192,6; 199,8; 200,5; 200,5; 200,5
"03311110 Almindelig virksomhed "; 189,1; 192,6; 199,8; 200,5; 200,5; 200,5
"034 Folketingets pensioner "; 70,2; 67,3; 75,9; 69,7; 69,7; 69,7
"0341 Folketingets pensioner "; 70,2; 67,3; 75,9; 69,7; 69,7; 69,7
"034101 Folketingets pensioner "; 70,2; 67,3; 75,9; 69,7; 69,7; 69,7
"03410110 Folketingets medlemspensioner "; 46,2; 42,0; 48,9; 42,8; 42,8; 42,8
"03410130 Folketingets administrations pensioner "; 15,0; 15,8; 17,3; 16,1; 16,1; 16,1
"03410140 Folketingets Ombudsmands pensioner "; 0,8; 0,8; 0,5; 0,8; 0,8; 0,8
"03410150 Statsrevisorernes pensioner "; 1,2; 1,3; 1,2; 1,3; 1,3; 1,3
"03410160 Rigsrevisionens pensioner "; 7,0; 7,4; 8,0; 8,7; 8,7; 8,7
"05 Statsministeriet "; 122,7; 126,7; 120,8; 121,4; 118,8; 117,4
"051 Fællesudgifter "; 122,7; 126,7; 120,8; 121,4; 118,8; 117,4
"0511 Centralstyrelsen "; 100,3; 104,5; 98,3; 96,7; 94,1; 92,7
"051101 Departementet "; 85,3; 90,3; 81,4; 80,7; 80,0; 79,3
"05110110 Almindelig virksomhed "; 85,3; 90,3; 81,4; 80,7; 80,0; 79,3
"051103 Vederlag og repræsentationstillæg t. ministre "; 13,9; 13,6; 16,1; 15,2; 13,3; 12,6
"05110310 Almindelig virksomhed "; 0,1; 0,1; 0,1; 0,1; 0,1; 0,1
"05110320 Vederlag til ministre "; 11,9; 12,3; 12,5; 12,5; 12,5; 12,5
"05110330 Eftervederlag til tidligere ministre "; 1,9; 1,2; 3,5; 2,6; 0,7; 0,0
"051105 Tilskud "; 1,1; 0,8; 0,8; 0,8; 0,8; 0,8
"05110510 Avisårbogen "; 0,6; 0,3; 0,3; 0,3; 0,3; 0,3
"05110520 Nordatlantens Brygge "; 0,5; 0,5; 0,5; 0,5; 0,5; 0,5
"051179 Reserver og budgetregulering "; 0,0; -0,2; 0,0; 0,0; 0,0; 0,0
"05117986 Budgetregulering vedr. ASC "; 0,0; -0,4; 0,0; 0,0; 0,0; 0,0
"05117987 Reserve til betaling til ASC "; 0,0; 0,2; 0,0; 0,0; 0,0; 0,0
"0512 Grønland og Færøerne "; 22,4; 22,2; 22,5; 24,7; 24,7; 24,7
"051203 Rigsombudsmanden i Grønland "; 12,7; 12,2; 11,7; 13,3; 13,3; 13,3
"05120310 Almindelig virksomhed "; 12,7; 12,2; 11,7; 13,3; 13,3; 13,3
"051251 Rigsombudsmanden på Færøerne "; 9,7; 10,0; 10,8; 11,4; 11,4; 11,4
"05125110 Almindelig virksomhed "; 9,7; 10,0; 10,8; 11,4; 11,4; 11,4
"06 Udenrigsministeriet "; 14684,7; 16114,9; 15665,9; 16430,1; 16576,4; 16529,3
"061 Udenrigstjenesten m.v. "; 2143,4; 2250,4; 2309,3; 2200,1; 2160,8; 2116,6
"0611 Udenrigstjenesten "; 2143,4; 2250,4; 2309,3; 2200,1; 2160,8; 2116,6
"061101 Udenrigstjenesten "; 1926,3; 2040,8; 2097,3; 1993,4; 1956,6; 1916,4
"06110110 Generel udenrigspolitik "; 634,8; 657,2; 669,3; 645,6; 633,7; 616,3
"06110120 Administration af udviklingsbistand "; 714,7; 736,5; 786,3; 730,7; 730,7; 730,7
"06110130 Eksport- og investeringsfremme mv. "; 359,8; 390,2; 386,6; 362,3; 342,4; 333,8
"06110140 Borgerservice "; 175,9; 220,3; 217,9; 217,6; 212,6; 204,4
"06110180 Udenrigsministeriets Kompetencecenter "; 24,7; 22,2; 22,5; 22,5; 22,5; 16,5
"06110190 Kompetencecentret "; 16,3; 14,4; 14,7; 14,7; 14,7; 14,7
"061104 Regeringens fællesudgifter vedr. COP15 "; 12,7; 8,5; 0,0; 0,0; 0,0; 0,0
"06110410 Fællesudgifter "; 12,7; 8,5; 0,0; 0,0; 0,0; 0,0
"061113 DCISM "; 193,1; 171,7; 175,5; 175,2; 172,8; 170,1
"06111310 Almindelig virksomhed "; 76,6; 76,4; 78,3; 78,0; 75,6; 72,9
"06111390 Indtægtsdækket virksomhed "; 3,1; 2,7; 2,7; 2,7; 2,7; 2,7
"06111395 Tilskudsfinansieret virksomhed "; 26,2; 18,4; 18,8; 18,8; 18,8; 18,8
"06111397 Andre tilskudsfinansierede aktiviteter "; 87,2; 74,2; 75,7; 75,7; 75,7; 75,7
"061115 Ikke-lovbundne tilskud "; 11,5; 32,0; 36,5; 31,5; 31,4; 30,1
"06111510 Tilskud til oplysningsarbejde m.v. "; 3,9; 10,3; 5,5; 5,3; 5,2; 3,9
"06111520 Tilskud til internationale institutioner "; 3,3; 5,2; 5,6; 4,1; 4,1; 4,1
"06111530 Int. presseindsatser "; 4,3; 5,4; 5,4; 2,1; 2,1; 2,1
"06111540 Moderne sikkerhed "; 0,0; 11,1; 20,0; 20,0; 20,0; 20,0
"061119 Bilateralt naboskabsprogram "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06111915 indsatser på Balkan "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06111920 Demokratifonden "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
