"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2006";"2007";"2008";"2009";"2010";"2011" 
"06 Udenrigsministeriet "; -321,5; -559,3; -828,0; -328,0; -28,0; -28,0
"061 Udenrigstjenesten m.v. "; -321,5; -559,3; -828,0; -328,0; -28,0; -28,0
"0611 Udenrigstjenesten "; -321,5; -559,3; -828,0; -328,0; -28,0; -28,0
"061106 Renteindtægt af diverse tilgodehavender "; -21,5; -59,3; -28,0; -28,0; -28,0; -28,0
"06110610 Renteindtægt af diverse tilgodehavender "; -21,5; -59,3; -28,0; -28,0; -28,0; -28,0
"061121 Udlodninger fra IØ og IFU "; -300,0; -500,0; -800,0; -300,0; 0,0; 0,0
"06112110 Udlodninger fra IØ og IFU "; -300,0; -500,0; -800,0; -300,0; 0,0; 0,0
"07 Finansministeriet "; -633,0; -1663,4; -1482,0; -1479,0; -1479,0; -1479,0
"071 Offentlig økonomi "; -633,0; -1663,4; -1482,0; -1479,0; -1479,0; -1479,0
"0711 Centralstyrelsen "; -120,2; 0,0; 0,0; 0,0; 0,0; 0,0
"071127 Overførsel fra Hypotekbankens reserver "; -120,2; 0,0; 0,0; 0,0; 0,0; 0,0
"07112710 Overførsel fra Hypotekbankens reserver "; -120,2; 0,0; 0,0; 0,0; 0,0; 0,0
"0715 Statslige selskaber "; -512,9; -1663,4; -1482,0; -1479,0; -1479,0; -1479,0
"071501 Udbytte fra statslige selskaber "; -510,9; -1663,4; -1479,0; -1479,0; -1479,0; -1479,0
"07150110 Udbytte mv. "; -510,9; -1663,4; -1479,0; -1479,0; -1479,0; -1479,0
"071502 Salgsindtægter "; -2,0; 0,0; -3,0; 0,0; 0,0; 0,0
"07150230 Salg af arealer til Zoologisk Have "; -2,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07150250 Afvikling af ejendomsselskabet TOR I/S "; 0,0; 0,0; -3,0; 0,0; 0,0; 0,0
"08 Økonomi- og Erhvervsministeriet "; -11,6; -2,5; -54,0; -26,0; -12,0; -2,0
"081 Fællesudgifter "; -1,5; 0,0; 0,0; 0,0; 0,0; 0,0
"0811 Centralstyrelsen "; -1,5; 0,0; 0,0; 0,0; 0,0; 0,0
"081102 Renter "; -1,5; 0,0; 0,0; 0,0; 0,0; 0,0
"08110210 Renter "; -1,5; 0,0; 0,0; 0,0; 0,0; 0,0
"083 Erhvervsfremme og byggeri "; -5,0; -0,5; -52,0; -24,0; -10,0; 0,0
"0836 Afvikling af ophørte ordninger m.v. "; -5,0; -0,5; -52,0; -24,0; -10,0; 0,0
"083606 Afvikling af Investeringsfonden Vækstmarkeder "; -5,0; -0,5; -52,0; -24,0; -10,0; 0,0
"08360610 Afvik Investeringsfonden for Vækstmarkeder "; -5,0; -0,5; -52,0; -24,0; -10,0; 0,0
"087 Søfart "; -5,1; -2,0; -2,0; -2,0; -2,0; -2,0
"0871 Søfart "; -5,1; -2,0; -2,0; -2,0; -2,0; -2,0
"087103 Registreringsafgift for fritidsfartøjer "; -1,9; -2,0; -2,0; -2,0; -2,0; -2,0
"08710310 Registreringsafgift for fritidsfartøjer "; -1,9; -2,0; -2,0; -2,0; -2,0; -2,0
"087117 Indfrielsesordning for statslån "; -3,2; 0,0; 0,0; 0,0; 0,0; 0,0
"08711710 Indtægter ved indfrielse af statslån "; -3,2; 0,0; 0,0; 0,0; 0,0; 0,0
"09 Skatteministeriet "; -145,0; -305,3; -1110,0; -1100,5; -1080,5; -1080,5
"091 Fællesudgifter "; -43,2; -45,5; -47,0; -47,5; -47,5; -47,5
"0911 Centralstyrelsen "; -43,2; -45,5; -47,0; -47,5; -47,5; -47,5
"091121 Klagegebyr "; -1,2; -1,5; -1,0; -1,5; -1,5; -1,5
"09112110 Klagegebyr "; -1,2; -1,5; -1,0; -1,5; -1,5; -1,5
"091141 Det Danske Klasselotteri A/S "; -31,4; -33,0; -35,0; -35,0; -35,0; -35,0
"09114110 Betaling for ret til at drive klasselotteri "; -31,4; -33,0; -35,0; -35,0; -35,0; -35,0
"091161 Renter "; -10,6; -11,0; -11,0; -11,0; -11,0; -11,0
"09116110 Renter "; -2,1; -2,0; -2,0; -2,0; -2,0; -2,0
"09116130 Renteindtægter og udbytter "; -8,5; -9,0; -9,0; -9,0; -9,0; -9,0
"092 Forvaltning "; -101,8; -259,8; -1063,0; -1053,0; -1033,0; -1033,0
"0921 Skatte- og afgiftsforvaltning "; -101,8; -259,8; -1063,0; -1053,0; -1033,0; -1033,0
"092103 Gebyrer, retsafgifter m.v. "; -101,8; -259,8; -1063,0; -1053,0; -1033,0; -1033,0
"09210310 Bøder, konfiskation, gebyrer "; -70,4; -68,0; -70,0; -70,0; -70,0; -70,0
"09210320 Gebyrer og formålsbestemte afgifter "; -10,9; -12,0; -12,0; -12,0; -12,0; -12,0
"09210330 Gebyrer på spilleområdet "; -20,5; -20,0; -21,0; -21,0; -21,0; -21,0
"09210340 Gebyrer på motorområdet "; 0,0; 0,0; -790,0; -780,0; -760,0; -760,0
"09210350 Gebyrer på inddrivelsesområdet "; 0,0; -159,8; -170,0; -170,0; -170,0; -170,0
"11 Justitsministeriet "; -3353,4; -2575,0; -2245,0; -2245,0; -2245,0; -2245,0
"112 Politivæsenet "; -2688,4; -1900,0; -1570,0; -1570,0; -1570,0; -1570,0
"1123 Politi "; -2688,4; -1900,0; -1570,0; -1570,0; -1570,0; -1570,0
"112302 Bøder, park.afg., kørekort mv. "; -2584,3; -1810,0; -1480,0; -1480,0; -1480,0; -1480,0
"11230210 Bøder, konfiskationer og gebyrer "; -2584,3; -1810,0; -1480,0; -1480,0; -1480,0; -1480,0
"112307 Kommunal parkeringskontrol "; -104,1; -90,0; -90,0; -90,0; -90,0; -90,0
"11230710 Parkeringskontrol "; -104,1; -90,0; -90,0; -90,0; -90,0; -90,0
"114 Retsvæsenet "; -665,0; -675,0; -675,0; -675,0; -675,0; -675,0
"1143 Sagsindtægter "; -665,0; -675,0; -675,0; -675,0; -675,0; -675,0
"114301 Retsafgifter mv. "; -385,5; -425,0; -425,0; -425,0; -425,0; -425,0
"11430110 Retsafgifter m.v. "; -385,5; -425,0; -425,0; -425,0; -425,0; -425,0
"114302 Indtægter ved EDB i tinglysningen "; -279,5; -250,0; -250,0; -250,0; -250,0; -250,0
"11430250 EDB i tinglysningen "; -279,5; -250,0; -250,0; -250,0; -250,0; -250,0
"12 Forsvarsministeriet "; -21,6; -23,3; -20,1; -20,1; -20,1; -20,1
"122 Militært forsvar "; -21,6; -23,3; -20,1; -20,1; -20,1; -20,1
"1221 Forsvarskommandoen og Hjemmeværnet "; -21,6; -23,3; -20,1; -20,1; -20,1; -20,1
"122109 Isafgifter fra skibe og havne "; -21,6; -23,3; -20,1; -20,1; -20,1; -20,1
"12210910 Isafgifter fra skibe og havne "; -21,6; -23,3; -20,1; -20,1; -20,1; -20,1
"122110 Administrative bøder "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"12211010 Administrative bøder "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15 Velfærdsministeriet "; -7,5; -7,9; -7,9; -7,9; -7,9; -7,9
"151 Fællesudgifter "; -7,5; -7,9; -7,9; -7,9; -7,9; -7,9
"1517 Regional statsforvaltning "; -7,5; -7,9; -7,9; -7,9; -7,9; -7,9
"151705 Gebyrordninger for statsforvaltningerne "; -7,5; -7,9; -7,9; -7,9; -7,9; -7,9
"15170510 Gebyr for skilsmissebevillinger m.v. "; -7,5; -7,9; -7,9; -7,9; -7,9; -7,9
"16 Ministeriet for Sundhed og Forebyggelse "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"161 Fællesudgifter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"1611 Centralstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"161175 Renteindtægter og renteudgifter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"16117510 Renteudg. og renteindt. af div. tilg.hav. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"17 Beskæftigelsesministeriet "; -13340,0; -13531,5; -13967,3; -14078,2; -14157,3; -14154,0
"171 Fællesudgifter "; -8,0; -4,1; -8,6; -8,6; -8,6; -8,6
"1719 Øvrige fællesudgifter "; -8,0; -4,1; -8,6; -8,6; -8,6; -8,6
"171938 Renter "; -8,0; -4,1; -8,6; -8,6; -8,6; -8,6
"17193810 Arbejdsløshedskasser "; -4,4; -4,0; -5,0; -5,0; -5,0; -5,0
"17193820 Øvrige ministerområde "; -3,5; -0,1; -3,6; -3,6; -3,6; -3,6
"172 Arbejdsmiljø "; -110,2; -120,4; -101,9; -101,9; -101,9; -101,9
"1722 Arbejdsmarkedets parters arbejdsmiljøindsats "; -110,2; -120,4; -101,9; -101,9; -101,9; -101,9
"172201 Partsindsatsen, jf. # 68 i arbejdsmiljøloven "; -101,3; -112,4; -93,8; -93,8; -93,8; -93,8
"17220110 45 mio.kr. bidraget, jf. # 68, (arb.miljølov)"; -45,0; -45,0; -45,0; -45,0; -45,0; -45,0
"17220120 2%-bidraget, jf. # 68, stk. 3 (arb.miljølov) "; -54,9; -66,0; -47,4; -47,4; -47,4; -47,4
"17220130 Beskæft.min. bidrag, jf. #68, (arb.m.lov) "; -1,4; -1,4; -1,4; -1,4; -1,4; -1,4
"172212 Sekretariat for Arbejdsmiljørådet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"17221210 Sekretariat for Arbejdsmiljørådet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"172214 Videncenter "; -8,9; -8,0; -8,1; -8,1; -8,1; -8,1
"17221410 Videncenter "; -4,8; -6,0; -6,1; -6,1; -6,1; -6,1
"17221490 Indtægtsdækket virksomhed "; -4,2; -2,0; -2,0; -2,0; -2,0; -2,0
"173 Arbejdsmarkedsrelateret forsørgelse "; -13221,8; -13407,0; -13856,8; -13967,7; -14046,8; -14043,5
"1731 Fællesudgifter "; -13221,8; -13407,0; -13856,8; -13967,7; -14046,8; -14043,5
"173151 Medlemsbidrag fra arbejdsløshedskasser "; -12730,9; -12924,0; -13311,3; -13399,2; -13478,3; -13475,0
"17315110 Medlemsbidrag fra arbejdsløshedskasser "; -12730,9; -12924,0; -13311,3; -13399,2; -13478,3; -13475,0
"173155 Forsikringsordninger vedrørende sygedagpenge "; -490,9; -483,0; -545,5; -568,5; -568,5; -568,5
"17315510 Bidrag fra frivilligt forsikrede "; -180,3; -195,0; -208,0; -208,0; -208,0; -208,0
"17315520 Bidrag fra forsikrede mindre arbejdsgivere "; -310,6; -288,0; -337,5; -360,5; -360,5; -360,5
"19 Videnskabsministeriet "; -388,1; -387,6; -388,6; -389,9; -390,9; -392,0
"196 IT-, Tele- og Oplysningsområdet "; -388,1; -387,6; -388,6; -389,9; -390,9; -392,0
"1963 Udlån og kapitalindtægter "; -388,1; -387,6; -388,6; -389,9; -390,9; -392,0
"196303 3G-auktion "; -254,8; -253,8; -253,8; -253,8; -253,8; -253,8
"19630310 3G-auktion "; -254,8; -253,8; -253,8; -253,8; -253,8; -253,8
"196304 Frekvens- og nummerafgifter "; -133,4; -133,8; -134,8; -136,1; -137,1; -138,2
"19630410 Frekvens- og nummerafgifter "; -133,4; -133,8; -134,8; -136,1; -137,1; -138,2
"20 Undervisningsministeriet "; -84,3; -26,8; -30,2; -29,5; -29,1; -28,6
"201 Administration m.v. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"2011 Centralstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"201137 Renter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"20113710 Renteindtægt af likvide beholdninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"208 Tværgående og internationale aktiviteter "; -57,2; 0,0; 0,0; 0,0; 0,0; 0,0
"2086 Tværgående bevillinger til lån "; -57,2; 0,0; 0,0; 0,0; 0,0; 0,0
"208602 Tværgående byggebevillinger "; -57,2; 0,0; 0,0; 0,0; 0,0; 0,0
"20860240 Indtægter ved indfrielse af statslån "; -57,2; 0,0; 0,0; 0,0; 0,0; 0,0
"209 Støtteordninger m.v. "; -27,0; -26,8; -30,2; -29,5; -29,1; -28,6
"2091 Statens uddannelsesstøtte "; -22,1; -20,5; -23,8; -23,4; -23,0; -22,5
"209113 Forrentning af øvrig lånevirksomhed "; -22,1; -20,5; -23,8; -23,4; -23,0; -22,5
"20911315 Renter af statslån (adm. af Økonomistyrelsen)"; -22,1; -20,5; -23,8; -23,4; -23,0; -22,5
"2093 Støtteordninger for voksne "; -4,9; -6,3; -6,4; -6,1; -6,1; -6,1
"209329 ATP-bidrag for modtagere af VEU-godtgørelse "; -4,9; -6,3; -6,4; -6,1; -6,1; -6,1
"20932910 ATP-indbetaling "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"20932920 Bidrag fra a-kasser "; -2,3; -3,0; -3,0; -2,9; -2,9; -2,9
"20932930 Indbetaling fra arbejdsgivere "; -2,6; -3,3; -3,4; -3,2; -3,2; -3,2
"21 Kulturministeriet "; -127,5; -126,9; -135,0; -135,0; -135,0; -135,0
"218 Radio og tv "; -127,5; -126,9; -135,0; -135,0; -135,0; -135,0
"2181 Radio og tv "; -127,5; -126,9; -135,0; -135,0; -135,0; -135,0
"218125 Analoge FM-sendemuligheder, salg af "; -77,1; -76,5; -76,5; -76,5; -76,5; -76,5
"21812510 Femte landsdækkende FM-radiokanal "; -54,0; -54,0; -54,0; -54,0; -54,0; -54,0
"21812520 Sjette landsdækkende FM-radiokanal "; -23,1; -22,5; -22,5; -22,5; -22,5; -22,5
"218127 Udbytte mv. "; -50,5; -50,4; -58,5; -58,5; -58,5; -58,5
"21812710 Udbytte mv. fra TV 2/DANMARK A/S "; -50,5; -50,4; -58,5; -58,5; -58,5; -58,5
"23 Miljøministeriet "; -103,7; -50,9; -80,8; -75,8; -70,8; -65,8
"231 Fællesudgifter "; -0,6; -0,9; -0,8; -0,8; -0,8; -0,8
"2311 Centralstyrelsen "; -0,6; -0,9; -0,8; -0,8; -0,8; -0,8
"231113 Klagesagsgebyrer "; -0,6; -0,9; -0,8; -0,8; -0,8; -0,8
"23111310 Klagesagsgebyr, Naturklagenævnet "; -0,6; -0,9; -0,8; -0,8; -0,8; -0,8
"239 Kortproduktion "; -103,1; -50,0; -80,0; -75,0; -70,0; -65,0
"2391 Kortproduktion "; -103,1; -50,0; -80,0; -75,0; -70,0; -65,0
"239102 Udstykningsafgift "; -103,1; -50,0; -80,0; -75,0; -70,0; -65,0
"23910210 Udstykningsafgift, L 42 1998 "; -103,1; -50,0; -80,0; -75,0; -70,0; -65,0
"24 Fødevareministeriet "; -0,2; -0,4; -0,3; -0,3; -0,3; -0,3
"242 Generelle jordbrugs- og fiskeriforhold "; -0,2; -0,4; -0,3; -0,3; -0,3; -0,3
"2421 Fællesudgifter inden for jordbrug og fiskeri "; -0,2; -0,4; -0,3; -0,3; -0,3; -0,3
"242106 Renter "; -0,2; -0,4; -0,3; -0,3; -0,3; -0,3
"24210610 Renter vedr. jordfordelingsaktiviteter "; -0,1; -0,1; -0,1; -0,1; -0,1; -0,1
"24210620 Renter vedrørende læplantningsordningen "; 0,0; -0,1; 0,0; 0,0; 0,0; 0,0
"24210630 Renter vedr. tilskudsforvaltningen "; -0,1; -0,1; -0,1; -0,1; -0,1; -0,1
"24210640 Øvrige renter "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"28 Transportministeriet "; -1669,1; -1138,0; -1064,9; -659,3; -566,0; -565,4
"281 Fællesudgifter "; -1669,1; -1138,0; -1064,9; -659,3; -566,0; -565,4
"2811 Centralstyrelsen "; -1669,1; -1138,0; -1064,9; -659,3; -566,0; -565,4
"281166 Aktieudbytte m.v. "; -1665,0; -1138,0; -1060,6; -659,3; -566,0; -565,4
"28116640 Udbytte fra Post Danmark A/S "; -412,8; -412,0; -405,6; -405,0; -405,0; -405,0
"28116660 Udbytte fra DSB og DSB S-tog a/s "; -895,0; -726,0; -655,0; -254,3; -161,0; -160,4
"28116670 Udbytte fra Scandlines AG "; -357,2; 0,0; 0,0; 0,0; 0,0; 0,0
"281167 Salg af statslige aktiver "; -4,1; 0,0; -4,3; 0,0; 0,0; 0,0
"28116750 Overdragelse af statshavne "; -3,2; 0,0; -4,3; 0,0; 0,0; 0,0
"28116760 Salg af Combus A/S "; -1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"29 Klima- og Energiministeriet "; -11486,4; -10966,6; -12351,2; -10209,5; -9742,2; -9793,0
"292 Energi "; -11486,4; -10966,6; -12351,2; -10209,5; -9742,2; -9793,0
"2923 Efterforskning og indvinding af energi m.m. "; -11486,4; -10966,6; -12351,2; -10209,5; -9742,2; -9793,0
"292301 Koncessionsafgifter m.v. "; -1,5; -2,0; -1,7; -1,6; -1,6; -1,6
"29230110 Koncessionsafgifter m.v. "; -1,5; -2,0; -1,7; -1,6; -1,6; -1,6
"292302 Olierørledningsafgift m.v. "; -2155,9; -2158,0; -2196,5; -1980,0; -1512,7; -1563,5
"29230210 Olierørledningsafgift m.v. "; -1791,9; -1851,0; -1907,5; -1736,8; -1326,9; -1403,7
"29230220 Dispensationsafgift "; -364,1; -307,0; -289,0; -243,2; -185,8; -159,8
"292303 Gebyrindtægter i forbindelse med udbudsrunder "; -1,5; -0,2; -0,2; -0,2; -0,2; -0,2
"29230310 Gebyrindtægter i forbindelse med udbudsrunder"; -1,5; -0,2; -0,2; -0,2; -0,2; -0,2
"292304 Oversk. v. statsdel. i Nordsøakt. "; -9322,5; -8801,0; -10147,3; -8222,2; -8222,2; -8222,2
"29230410 Oversk.del. v. statsdel. i Nordsøaktiviteter "; -9322,5; -8801,0; -10147,3; -8222,2; -8222,2; -8222,2
"292306 Koncessionsafgift fra Akzo Nobel Salt A/S "; -5,0; -5,4; -5,5; -5,5; -5,5; -5,5
"29230610 Koncessionsafgift fra Akzo Nobel A/S "; -5,0; -5,4; -5,5; -5,5; -5,5; -5,5
"35 Generelle reserver "; 0,0; -2000,0; 0,0; -2000,0; -2000,0; -2000,0
"351 Reserver mv. "; 0,0; -2000,0; 0,0; -2000,0; -2000,0; -2000,0
"3511 Reserver mv. "; 0,0; -2000,0; 0,0; -2000,0; -2000,0; -2000,0
"351152 Omlægning af statslige aktiver "; 0,0; -2000,0; 0,0; -2000,0; -2000,0; -2000,0
"35115210 Omlægning af statslige aktiver "; 0,0; -2000,0; 0,0; -2000,0; -2000,0; -2000,0
"37 Renter "; -21195,5; -23720,7; -21454,1; 0,0; 0,0; 0,0
"372 Mellemværende m. National-, Hypotekbanken m.v "; -4374,4; -6420,3; -8531,7; 0,0; 0,0; 0,0
"3721 Mellemværende med Danmarks Nationalbank "; -4203,1; -3979,4; -6500,0; 0,0; 0,0; 0,0
"372101 Renter, Nationalbanken "; -1249,4; -1879,4; -3600,0; 0,0; 0,0; 0,0
"37210110 Renter af statens mellemværende med DN "; -1249,4; -1879,4; -3600,0; 0,0; 0,0; 0,0
"372102 Overskud fra Danmarks Nationalbank "; -2953,7; -2100,0; -2900,0; 0,0; 0,0; 0,0
"37210210 Overskud fra Danmarks Nationalbank "; -2953,7; -2100,0; -2900,0; 0,0; 0,0; 0,0
"3722 Mellemværende med Hypotekbanken "; -71,9; -49,1; -25,6; 0,0; 0,0; 0,0
"372201 Overskud fra Hypotekbanken, Økonomistyrelsen "; -16,4; 0,0; 0,0; 0,0; 0,0; 0,0
"37220110 Overskud fra Hypotekbanken "; -16,4; 0,0; 0,0; 0,0; 0,0; 0,0
"372202 Renter vedr. afvikling af Hypotekbanken "; -55,4; -49,1; -25,6; 0,0; 0,0; 0,0
"37220220 Renteindtægter vedr. overtagne udlån "; -55,4; -49,0; -25,6; 0,0; 0,0; 0,0
"37220230 Realiserede valutakursreguleringer "; 0,0; -0,1; 0,0; 0,0; 0,0; 0,0
"3723 Fællesstatslige mellemværender "; -99,4; -2391,8; -2006,1; 0,0; 0,0; 0,0
"372301 Fællesstatslige mellemværender "; -12,8; -6,1; -12,0; 0,0; 0,0; 0,0
"37230110 Renteindtægt af statslige pengeinstitutkonti "; -12,8; -6,1; -12,0; 0,0; 0,0; 0,0
"37230140 Driftsudgifter vedrørende afregningskonti OBS"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"372302 Renter vedr. inkonverterbare realkreditlån,ØS "; -18,7; -21,0; -15,0; 0,0; 0,0; 0,0
"37230220 Renteindtægter vedr. obligationer "; -18,7; -21,0; -15,0; 0,0; 0,0; 0,0
"372303 SKB/OBS, pengeformid., selvstændig likviditet "; -67,9; -2364,7; -1979,1; 0,0; 0,0; 0,0
"37230310 Finansministeriets renter vedr. inst. m. S.L."; -64,6; -8,0; -9,0; 0,0; 0,0; 0,0
"37230315 Finansministeriets renter vedr selvstændig li"; 0,0; -1195,9; -801,6; 0,0; 0,0; 0,0
"37230320 Finansministeriets renter vedr. inst. selvej."; -0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"37230330 Finansministeriets renter vedr. drift ejend.v"; -3,0; -1160,8; -1174,0; 0,0; 0,0; 0,0
"37230355 Administration af SKB/OBS "; 0,0; 0,0; 5,5; 0,0; 0,0; 0,0
"373 Fastrenteaftaler mv. "; -241,7; -229,5; -241,7; 0,0; 0,0; 0,0
"3731 Fastrenteaftaler mv. "; -241,7; -229,5; -241,7; 0,0; 0,0; 0,0
"373101 Fastrenteaftaler mv. "; -241,7; -229,5; -241,7; 0,0; 0,0; 0,0
"37310110 Betalte renter "; -241,7; -229,5; -241,7; 0,0; 0,0; 0,0
"375 Fonde "; -11938,4; -13567,0; -8930,8; 0,0; 0,0; 0,0
